city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
25,midsize car,29,4.0,2.5,fwd,gas,36,mazda,others,m,2014
26,midsize car,30,4.0,2.5,fwd,gas,37,mazda,others,a,2014
25,small sport utility vehicle,27,4.0,2.5,fwd,gas,31,mazda,others,a,2014
26,small sport utility vehicle,29,4.0,2.0,fwd,gas,34,mazda,others,m,2014
26,small sport utility vehicle,28,4.0,2.0,fwd,gas,32,mazda,others,a,2014
24,small sport utility vehicle,26,4.0,2.5,4wd,gas,29,mazda,others,a,2014
25,small sport utility vehicle,27,4.0,2.0,4wd,gas,30,mazda,others,a,2014
19,subcompact car,22,6.0,3.7,rwd,gas,29,others,others,m,2014
19,subcompact car,23,6.0,3.7,rwd,gas,30,others,others,a,2014
15,subcompact car,18,8.0,5.8,rwd,gas,24,others,others,m,2014
18,subcompact car,20,8.0,5.0,rwd,gas,25,others,others,a,2014
22,small sport utility vehicle,24,4.0,2.5,awd,gas,28,subaru,others,m,2014
24,small sport utility vehicle,27,4.0,2.5,awd,gas,31,subaru,others,a,2014
23,small sport utility vehicle,25,4.0,2.0,awd,gas,27,subaru,others,a,2014
19,subcompact car,23,6.0,3.7,rwd,gas,29,others,others,a,2014
16,subcompact car,19,8.0,5.0,rwd,gas,25,others,others,m,2014
16,subcompact car,19,6.0,3.8,awd,gas,23,others,others,a,2014
24,large car,28,6.0,3.0,awd,others,36,audi,others,a,2014
20,small sport utility vehicle,22,4.0,2.4,fwd,gas,26,kia,others,a,2014
19,small sport utility vehicle,21,4.0,2.4,fwd,gas,27,kia,others,m,2014
18,small sport utility vehicle,21,6.0,3.3,fwd,gas,25,kia,others,a,2014
19,small sport utility vehicle,21,4.0,2.4,4wd,gas,24,kia,others,a,2014
18,small sport utility vehicle,20,6.0,3.3,4wd,gas,23,kia,others,a,2014
17,small sport utility vehicle,19,6.0,3.5,awd,gas,22,others,others,a,2014
13,two seater,16,10.0,5.2,awd,gas,22,audi,others,a,2014
13,two seater,16,10.0,5.2,awd,gas,22,audi,others,a,2014
14,two seater,17,8.0,4.2,awd,gas,23,audi,others,a,2014
14,two seater,17,8.0,4.2,awd,gas,23,audi,others,a,2014
12,two seater,14,10.0,5.2,awd,gas,19,audi,others,m,2014
12,two seater,14,10.0,5.2,awd,gas,19,audi,others,m,2014
11,two seater,14,8.0,4.2,awd,gas,20,audi,others,m,2014
11,two seater,14,8.0,4.2,awd,gas,20,audi,others,m,2014
13,minicompact car,15,12.0,5.9,rwd,gas,19,others,others,a,2014
13,minicompact car,15,12.0,5.9,rwd,gas,19,others,others,a,2014
13,subcompact car,15,12.0,5.9,rwd,gas,19,others,others,a,2014
14,subcompact car,17,8.0,5.0,rwd,gas,22,others,others,m,2014
21,small sport utility vehicle,24,4.0,2.4,fwd,gas,28,jeep,others,a,2014
21,small sport utility vehicle,24,4.0,2.4,fwd,gas,28,jeep,others,a,2014
21,small sport utility vehicle,24,4.0,2.0,fwd,gas,28,jeep,others,a,2014
21,small sport utility vehicle,24,4.0,2.0,fwd,gas,28,jeep,others,a,2014
23,small sport utility vehicle,25,4.0,2.4,fwd,gas,28,jeep,others,m,2014
23,small sport utility vehicle,25,4.0,2.4,fwd,gas,28,jeep,others,m,2014
23,small sport utility vehicle,25,4.0,2.0,fwd,gas,30,jeep,others,m,2014
21,small sport utility vehicle,23,4.0,2.4,4wd,gas,27,jeep,others,a,2014
21,small sport utility vehicle,23,4.0,2.4,4wd,gas,27,jeep,others,a,2014
23,small sport utility vehicle,25,4.0,2.4,4wd,gas,28,jeep,others,m,2014
23,small sport utility vehicle,25,4.0,2.4,4wd,gas,28,jeep,others,m,2014
13,standard sport utility vehicle,15,8.0,6.4,4wd,gas,19,jeep,others,a,2014
14,standard sport utility vehicle,17,8.0,4.8,awd,gas,21,others,others,a,2014
15,subcompact car,17,8.0,5.0,rwd,gas,22,others,others,a,2014
16,subcompact car,19,6.0,3.8,awd,gas,23,others,others,a,2015
20,compact car,23,5.0,2.5,awd,gas,28,others,others,a,2015
26,midsize car,30,4.0,2.5,fwd,gas,37,mazda,others,a,2015
28,midsize car,32,4.0,2.5,fwd,gas,39,mazda,others,a,2015
25,midsize car,29,4.0,2.5,fwd,gas,35,mazda,others,m,2015
18,large car,21,6.0,3.8,rwd,gas,26,kia,others,a,2015
15,large car,18,8.0,5.0,rwd,gas,23,kia,others,a,2015
18,small sport utility vehicle,21,6.0,3.3,fwd,gas,25,kia,others,a,2015
26,small sport utility vehicle,28,4.0,2.0,fwd,gas,32,mazda,others,a,2015
26,small sport utility vehicle,29,4.0,2.0,fwd,gas,34,mazda,others,m,2015
25,small sport utility vehicle,27,4.0,2.5,fwd,gas,31,mazda,others,a,2015
19,small sport utility vehicle,21,4.0,2.4,awd,gas,25,kia,others,a,2015
18,small sport utility vehicle,20,6.0,3.3,awd,gas,23,kia,others,a,2015
25,small sport utility vehicle,27,4.0,2.0,4wd,gas,30,mazda,others,a,2015
24,small sport utility vehicle,26,4.0,2.5,4wd,gas,29,mazda,others,a,2015
17,small sport utility vehicle,20,6.0,3.0,awd,gas,24,others,others,a,2015
17,small sport utility vehicle,20,6.0,3.0,awd,gas,24,others,others,a,2015
